"","admin","total"
"1","中央研究院",406
"2","中央警察大學",141
"3","中央銀行",1393
"4","交通部公路總局",393
"5","交通部台灣鐵路管理局",106733.52
"6","交通部民用航空局",95
"7","交通部臺灣區國道高速公路局",447.36
"8","交通部臺灣鐵路管理局",1260
"9","交通部高速鐵路工程局",7546
"10","僑務委員會",113
"11","內政部",62
"12","內政部營建署",22841.41
"13","內政部警政署",1632
"14","內政部警政署保安警察第一總隊",4299
"15","內政部警政署保安警察第六總隊",1825.97
"16","內政部警政署刑事警察局",14
"17","內政部警政署警察機械修理廠",184
"18","公務人員住宅及福利委員會",219
"19","勞動部勞動基金運用局",7139
"20","勞工保險局",7143
"21","台北市士林區文昌國民小學",1
"22","台北市大同區公所",25
"23","台北市政府工務局公園路燈工程管理處",5180.81
"24","台北市政府工務局新建工程處",20944.6
"25","台北市政府捷運工程局",441
"26","台北市政府教育局",22
"27","台北市政府文化局",30668.44
"28","台北市政府消防局",36
"29","台北市政府警察局",2339
"30","台灣中油股份有限公司",7
"31","台灣士林地方法院檢察署",4416
"32","司法院",466
"33","國家中山科學研究院",5394
"34","國家圖書館",2
"35","國家安全局",51296.72
"36","國家安全會議秘書處",14
"37","國家教育研究院",657
"38","國家發展委員會",9056.51
"39","國立台灣大學",15515
"40","國立台灣師範大學",4168
"41","國立政治大學",3241
"42","國立故宮博物院",78
"43","國立清華大學",25
"44","國立臺北大學",771
"45","國立臺北教育大學",1841
"46","國立臺北教育大學附設實驗國民小學",150
"47","國立臺北科技大學",9
"48","國立臺灣博物館",313
"49","國立臺灣大學",143
"50","國立臺灣師範大學",170
"51","國立臺灣師範大學附屬高級中學",315
"52","國立陽明大學",1
"53","國軍退除役官兵輔導委員會",3334
"54","國防部政治作戰局",141195.71
"55","國防部軍備局",108403.13
"56","外交部",3678
"57","審計部",267
"58","教育部",18690.06
"59","教育部體育署",852
"60","文化部",12436
"61","文化部文化資產局",406
"62","法務部矯正署臺北看守所",12169
"63","法務部調查局",1664
"64","法官學院",41.85
"65","經濟部",5258
"66","經濟部水利署",1374.21
"67","總統府第三局",22411
"68","考試院",1592
"69","考選部",307.64
"70","臺北市信義區三興國民小學",36
"71","臺北市北投區公所",17
"72","臺北市政府地政局土地開發總隊",2712
"73","臺北市政府工務局公園路燈工程管理處",2759.63
"74","臺北市政府工務局新建工程處",5748.8
"75","臺北市政府工務局水利工程處",2146
"76","臺北市政府文化局",123
"77","臺北市政府消防局",175
"78","臺北市政府環境保護局",836
"79","臺北市政府社會局",38250.67
"80","臺北市文山區公所",3
"81","臺北市立天文科學教育館",51
"82","臺北市立復興高級中學",2522.45
"83","臺北榮民總醫院",53.71
"84","臺北縣政府",606
"85","臺北高等行政法院",41.85
"86","臺灣省諮議會",95
"87","臺灣警察專科學校",86
"88","臺灣高等法院",1271
"89","行政院大陸委員會",11.71
"90","行政院海岸巡防署",173
"91","行政院海岸巡防署海岸巡防總局",4
"92","行政院衛生署台北醫院",1590
"93","行政院農業委員會",7751
"94","行政院農業委員會林務局",12311.46
"95","行政院農業委員會林業試驗所",1399
"96","行政院農業委員會漁業署",185
"97","行政院農業委員會苗栗區農業改良場",1808
"98","財政部",285
"99","財政部國有財產署",1631359.57
"100","財政部臺北國稅局",149
"101","財政部財政資訊中心",122
"102","銓敘部",223
